1	0.45	0.37	0.4
2	0.13	0.56	0.45
3	0.07	0.58	0.51
4	0.22	0.59	0.53
5	0.22	0.57	0.58
6	0.21	0.38	0.51
7	0.05	0.58	0.46
8	0.18	0.44	0.56
9	0.06	0.35	0.41
10	0	0.42	0.6
11	0.3	0.35	0.6
12	0.06	0.45	0.59
13	0.11	0.41	0.55
14	0.15	0.47	0.6
15	0.08	0.42	0.5
16	0.17	0.45	0.54
17	0.21	0.33	0.46
18	0.1	0.43	0.4
19	0.13	0.44	0.53
20	0.18	0.33	0.45
21	0.21	0.54	0.45
22	0.26	0.52	0.53
23	0.2	0.54	0.44
24	0.3	0.45	0.53
25	0.01	0.46	0.57
26	0.51	0.62	0.84
27	0.32	0.24	0.78
28	0.57	0.27	0.68
29	0.51	0.24	0.77
30	0.56	0.14	0.95
31	0.45	0.07	0.8
32	0.32	0.15	0.77
33	0.32	0.18	0.62
34	0.51	0.02	0.9
35	0.36	0	0.75
36	0.38	0.18	0.6
37	0.33	0.13	0.85
38	0.31	0.1	0.66
39	0.55	0.04	0.72
40	0.38	0.01	0.96
41	0.38	0.3	0.72
42	0.3	0.11	0.88
43	0.59	0	0.72
44	0.43	0.23	0.75
45	0.51	0.25	0.91
46	0.4	0.02	0.65
47	0.58	0.28	0.75
48	0.55	0.17	0.95
49	0.58	0.3	0.84
50	0.24	0.66	0.51
51	0.3	0.66	0.59
52	0	0.66	0.53
53	0.02	0.7	0.47
54	0.25	0.97	0.34
55	0.18	0.74	0.34
56	0.14	1	0.37
57	0.09	0.85	0.47
58	0.3	0.97	0.51
59	0.16	0.85	0.59
60	0.08	0.98	0.38
61	0.19	0.82	0.41
62	0.09	0.66	0.53
63	0.17	0.87	0.51
64	0.2	0.73	0.58
65	0.09	0.81	0.53
66	0.23	0.85	0.38
67	0.18	0.72	0.51
68	0.16	0.63	0.54
69	0.05	0.81	0.34
70	0.07	0.97	0.54
71	0.12	0.89	0.44
72	0.25	0.7	0.44
73	0.12	0.76	0.31
74	0.13	0.93	0.47
75	0.19	0.79	0.47
